"Player","Team","Position","Rk","Status","Age","Opponent","FPts","FP/G","PA","HR","R","RBI","SB","BB/PA","K/PA","ISO","BABIP","AVG","WOBA"
"Cody Stanley","STL","C","5053","FA","31","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Tanner Stanley","KC","OF","5054","FA","27","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Brock Stassi","(N/A)","1B","5055","FA","31","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Allen Staton","STL","3B","5056","FA","28","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"T.J. Steele","HOU","3B","5057","FA","34","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Hunter Steinmetz","TOR","OF","5058","FA","24","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"River Stevens","SD","2B","5059","FA","28","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Ian Stewart","(N/A)","3B","5060","FA","35","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jacob Stewart","PHI","OF","5061","FA","30","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Bobby Stone","ARI","OF","5062","FA","31","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jake Stone","STL","1B","5063","FA","30","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Zach Stoner","CHW","1B","5064","FA","27","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Hunter Stovall","COL","2B","5065","FA","24","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Ryan Strausborger","MIN","OF","5066","FA","32","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Tobias Streich","MIN","C","5067","FA","32","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Ryan Strieby","DET","1B","5068","FA","35","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"John Stringer","CHW","2B,SS","5069","FA","30","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Kevin Strohschein","WSH","1B,OF","5070","FA","23","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jamal Strong","NYY","OF","5071","FA","0","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Champ Stuart","NYM","OF","5072","FA","28","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Drew Stubbs","(N/A)","OF","5073","FA","36","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Bob Stumpo","PHI","C","5074","FA","33","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Gavin Stupienski","ARI","C","5075","FA","26","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Cole Sturgeon","BOS","OF","5076","FA","29","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Kervin Suarez","BOS","2B","5077","FA","21","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Michael Suchy","PIT","OF","5078","FA","27","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Antonio Sucre","ATL","OF","5079","FA","21","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Adrian Sugastey","SF","C","5080","FA","18","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jerrick Suiter","PIT","OF","5081","FA","27","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Matt Sulentic","OAK","OF","5082","FA","33","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Tyler Sullivan","CHW","OF","5083","FA","28","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Zach Sullivan","MIA","SS,OF","5084","FA","25","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jack Sundberg","WSH","OF","5085","FA","27","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Kyle Survance Jr","LAA","OF","5086","FA","27","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Daniel Susac","(N/A)","C","5087","FA","19","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Steve Susdorf","PHI","OF","5088","FA","34","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Timothy Susnara","ARI","C","5089","FA","24","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Albert Suarez","LAD","SS","5090","FA","21","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Kenny Swab","KC","C","5091","FA","32","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jake Sweaney","PHI","C","5092","FA","26","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Darnell Sweeney","(N/A)","2B","5093","FA","29","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Kane Sweeney","NYY","1B","5094","FA","28","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Ryan Sweeney","(N/A)","OF","5095","FA","35","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Daniel Sweet","TEX","OF","5096","FA","25","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Kevin Swick","CHW","3B","5097","FA","29","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Alex Swim","MIN","C","5098","FA","29","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Michael Swinson","STL","OF","5099","FA","31","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jeremy Sy","SF","SS","5100","FA","31","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Matt Szczur","(N/A)","OF","5101","FA","31","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Gaby Sanchez","(N/A)","1B","5102","FA","37","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Hector Sanchez","DET","C","5103","FA","31","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Tony Sanchez","(N/A)","C","5104","FA","32","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jose Tabata","TOR","OF","5105","FA","32","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Victor Tademo","MIN","3B","5106","FA","21","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Travis Taijeron","(N/A)","OF","5107","FA","31","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Carlos Talavera","STL","OF","5108","FA","24","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L.J. Talley","TOR","2B","5109","FA","23","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Deion Tansel","SD","SS","5110","FA","26","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Emmanuel Tapia","CLE","1B","5111","FA","24","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Roni Tapia","MIN","3B","5112","FA","23","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Donavan Tate","SD","OF","5113","FA","30","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Carlos Tatis","NYY","1B","5114","FA","23","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Aneury Tavarez","BOS","OF","5115","FA","28","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Chandler Taylor","HOU","OF","5116","FA","24","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Dominique Taylor","KC","OF","5117","FA","28","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jason Taylor","KC","3B","5118","FA","32","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Kennie Taylor","NYM","OF","5119","FA","24","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Kobie Taylor","TEX","OF","5120","FA","22","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Logan Taylor","SEA","OF","5121","FA","27","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Logan Taylor","CHW","OF","5122","FA","26","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Wayne Taylor","SEA","C,OF","5123","FA","28","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Zachary Taylor","PHI","OF","5124","FA","29","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Taylor Teagarden","CHC","C","5125","FA","36","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Luis David Tejada","CIN","3B","5126","FA","21","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Nestor Tejada","HOU","OF","5127","FA","23","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Elwin Tejeda","BOS","3B","5128","FA","23","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Oscar Tejeda","BOS","SS","5129","FA","30","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Blake Tekotte","BOS","OF","5130","FA","33","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Tomas Telis","MIN","C","5131","FA","29","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Cisco Tellez","BOS","1B","5132","FA","28","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Matt Tellor","ATL","1B","5133","FA","29","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Nate Tenbrink","SEA","OF","5134","FA","33","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Joey Terdoslavich","(N/A)","1B","5135","FA","32","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"James Terrell","OAK","OF","5136","FA","23","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Luis Terrero","TEX","OF","5137","FA","25","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jacob Teter","(N/A)","1B","5138","FA","21","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Josh Thole","NYY","C","5139","FA","34","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Brandon Thomas","NYY","OF","5140","FA","29","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Brett Thomas","SEA","OF","5141","FA","28","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Charles Thomas","CHC","3B","5142","FA","32","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Corey Thomas","BAL","3B","5143","FA","32","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Devin Thomas","DET","OF","5144","FA","35","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Francisco Thomas","MIL","SS","5145","FA","22","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Geoffrey Thomas","HOU","1B","5146","FA","29","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Ivory Thomas","MIN","OF","5147","FA","29","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jake Thomas","TOR","OF","5148","FA","27","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Michael Thomas","BOS","C","5149","FA","32","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Toby Thomas","CHW","SS","5150","FA","27","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Tony Thomas","CHC","2B","5151","FA","34","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Brandon Thomasson","KC","OF","5152","FA","28","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Bo Thompson","NYY","1B","5153","FA","28","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Cory Thompson","CIN","SS","5154","FA","26","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Drew Thompson","MIN","2B","5155","FA","34","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jason Thompson","BOS","SS","5156","FA","30","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Kevin Thompson","TEX","OF","5157","FA","41","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Mark Thompson","CLE","SS","5158","FA","36","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Nick Thompson","STL","OF","5159","FA","28","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Sterlin Thompson","(N/A)","SS","5160","FA","19","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Tony Thompson","OAK","3B","5161","FA","31","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Trayce Thompson","ARI","OF","5162","FA","29","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Dickie Joe Thon","TOR","2B,SS,OF","5163","FA","29","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Scott Thorman","DET","1B","5164","FA","38","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Dylan Tice","STL","2B","5165","FA","28","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jeremie Tice","CLE","3B","5166","FA","34","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Trent Tingelstad","SEA","OF","5167","FA","22","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Michael Tinsley","CLE","C","5168","FA","25","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Lucas Tirado","LAD","SS","5169","FA","24","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Maxx Tissenbaum","SD","SS","5170","FA","29","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jonah Todd","LAA","OF","5171","FA","25","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Frank Tolentino","BAL","OF","5172","FA","21","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Andrew Toles","LAD","OF","5173","FA","28","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Steve Tolleson","KC","2B","5174","FA","37","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Mitchell Tolman","PIT","3B","5175","FA","26","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"John Tomasovich","CHC","1B,2B,SS","5176","FA","29","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Kelby Tomlinson","(N/A)","2B","5177","FA","30","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Damek Tomscha","PHI","3B","5178","FA","29","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Cristian Toribio","TB","SS","5179","FA","26","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Eduardo Torrealba","NYY","SS","5180","FA","21","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Alexis Torres","BAL","SS","5181","FA","23","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Andres Torres","(N/A)","OF","5182","FA","42","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Bryan Torres","DET","C","5183","FA","23","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Franklin Torres","LAA","SS","5184","FA","24","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jose Torres","MIA","SS","5185","FA","30","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Nick Torres","SD","OF","5186","FA","27","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Nicolas Torres","PHI","2B","5187","FA","21","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Ramon Torres","(N/A)","2B,SS","5188","FA","27","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Saul Torres","NYY","C","5189","FA","21","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Victor Torres","CHW","C","5190","FA","20","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Dian Toscano","ATL","OF","5191","FA","31","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Rene Tosoni","MIL","OF","5192","FA","34","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Frankie Tostado","SF","OF","5193","FA","22","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Corey Toups","KC","SS","5194","FA","29","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Adrian Tovalin","HOU","3B","5195","FA","24","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Antonio Tovar","MIN","OF","5196","FA","24","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Wilfredo Jose Tovar","SD","C","5197","FA","19","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Cal Towey","LAA","1B,3B","5198","FA","30","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"J.R. Towles","HOU","C","5199","FA","36","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Kenny Towns","LAA","3B","5200","FA","27","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Tyler Townsend","BAL","1B","5201","FA","32","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Chad Tracy","TEX","3B","5202","FA","35","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Blake Trahan","CIN","SS","5203","FA","27","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Stryker Trahan","ARI","C","5204","FA","26","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Justin Trapp","KC","SS","5205","FA","30","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Devon Travis","(N/A)","2B","5206","FA","29","","0","0","0","0","0","0","0","0","0",".000","0.000","0","0"
"Mitch Trees","CIN","C","5207","FA","25","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Cesar Trejo","SEA","OF","5208","FA","23","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Brandon Trinkwon","LAD","SS","5209","FA","28","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jordan Tripp","OAK","OF","5210","FA","31","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Alberto Triunfel","TEX","SS","5211","FA","26","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Carlos Triunfel","CIN","SS","5212","FA","30","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Ben Troike","TB","SS","5213","FA","22","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Kristian Trompiz","HOU","SS","5214","FA","25","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Stefan Trosclair","STL","1B,2B","5215","FA","26","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Gunnar Troutwine","CHW","C","5216","FA","24","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Tommy Troy","(N/A)","SS","5217","FA","18","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Chris Truby","PIT","3B","5218","FA","0","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Tucker Tubbs","BOS","1B","5219","FA","28","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Avery Tuck","DET","OF","5220","FA","22","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Michael Tucker","BOS","OF","5221","FA","0","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Preston Tucker","(N/A)","OF","5222","FA","30","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Matt Tuiasosopo","(N/A)","OF","5223","FA","34","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Doran Turchin","BAL","OF","5224","FA","23","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Casey Turgeon","STL","2B","5225","FA","28","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Benjamin Turner","SF","C","5226","FA","30","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Stuart Turner","(N/A)","C","5227","FA","28","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Xavier Turner","TEX","3B","5228","FA","27","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Joe Tuschak","NYM","OF","5229","FA","28","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Dan Uggla","(N/A)","2B","5230","FA","40","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Elys Ugueto","SD","2B","5231","FA","24","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Luis Ugueto","MIN","2B","5232","FA","0","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Ryan Uhl","SEA","1B","5233","FA","27","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Bret Underwood","SF","OF","5234","FA","28","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Austin Upshaw","CHC","1B","5235","FA","24","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Melvin Upton Jr.","(N/A)","OF","5236","FA","36","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Nomar Urdaneta","MIN","2B","5237","FA","20","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Ronaldo Urdaneta","HOU","2B","5238","FA","22","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Estamy Urena","MIN","2B,SS","5239","FA","21","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jhoan Urena","NYM","3B","5240","FA","26","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jose Carlos Urena","SD","OF","5241","FA","25","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Juan Urena","MIA","SS","5242","FA","22","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Juan Uriarte","NYM","C","5243","FA","23","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Henry Urrutia","BOS","OF","5244","FA","33","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jesus Ustariz","DET","1B","5245","FA","27","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Chris Valaika","CHC","3B","5246","FA","35","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Luis Valbuena","(N/A)","3B","5247","FA","35","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Luis Valdes","DET","SS","5248","FA","31","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jordany Valdespin","MIN","2B","5249","FA","32","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Amin Valdez","LAD","SS","5250","FA","20","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Edinson Valdez","NYM","OF","5251","FA","21","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Fernando Valdez","TEX","OF","5252","FA","22","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Ignacio Valdez","DET","OF","5253","FA","25","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Wander Valdez","MIN","3B","5254","FA","21","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Danny Valencia","(N/A)","1B,3B","5255","FA","36","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"John Valente","DET","3B","5256","FA","25","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Xavier Valentin","TEX","C","5257","FA","20","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Yomar Valentin","BOS","2B","5258","FA","22","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Luis Valenzuela","ATL","SS","5259","FA","27","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Sahid Valenzuela","OAK","SS","5260","FA","23","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Junior Valera","NYY","2B","5261","FA","28","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Allen Valerio","NYY","3B","5262","FA","27","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Sebastian Valle","PHI","C","5263","FA","30","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Chase Vallot","KC","C","5264","FA","24","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Humberto Valor","CIN","SS","5265","FA","28","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Evan Van Hoosier","TEX","2B","5266","FA","26","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Brandon Van Horn","SF","2B,SS","5267","FA","26","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Luke Van Rycheghem","ARI","1B","5268","FA","22","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Scott Van Slyke","(N/A)","OF","5269","FA","34","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Cobie Vance","OAK","2B,SS","5270","FA","23","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Hector Vargas","CIN","SS","5271","FA","25","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jheremy Vargas","MIL","SS","5272","FA","17","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Kennys Vargas","DET","1B","5273","FA","30","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Kevin Vargas","STL","3B,SS","5274","FA","20","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Leurys Vargas","SEA","1B","5275","FA","24","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Smith Vargas","STL","OF","5276","FA","19","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Dayron Varona","TB","OF","5277","FA","32","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Cristhian Vasquez","KC","OF","5278","FA","24","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Danry Vasquez","HOU","OF","5279","FA","26","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"James Vasquez","CIN","1B","5280","FA","28","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Niko Vasquez","STL","SS","5281","FA","31","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Randy Vasquez","HOU","C","5282","FA","24","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Santo Vasquez","CHW","SS","5283","FA","22","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Cory Vaughn","NYM","OF","5284","FA","31","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Trey Vavra","MIN","1B,OF","5285","FA","29","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jan Vazquez","LAD","C","5286","FA","29","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jorge Vazquez","NYY","1B","5287","FA","38","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Onix Vega","WSH","C","5288","FA","22","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Osvaldo Vela","LAD","SS","5289","FA","28","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Frank Veliz","DET","2B","5290","FA","21","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Luis Veloz","SEA","OF","5291","FA","21","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Francisco Ventura","(N/A)","C","5292","FA","22","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Randy Ventura","CIN","OF","5293","FA","23","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Wilfred Veras","CHW","3B","5294","FA","18","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jordan Verdon","DET","1B,3B","5295","FA","23","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Ben Verlander","DET","OF","5296","FA","28","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Brett Vertigan","OAK","OF","5297","FA","30","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Drew Vettleson","TB","OF","5298","FA","29","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jose Vicente","CLE","1B","5299","FA","25","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Dayan Viciedo","CHW","OF","5300","FA","31","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Carlos Vidal","NYY","OF","5301","FA","25","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"David Vidal","MIA","3B","5302","FA","31","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Josh Vidales","OAK","2B","5303","FA","27","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jose Villa","NYY","3B","5304","FA","22","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Fernando Villalobos","NYM","C","5305","FA","18","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Angel Villalona","SF","1B,3B","5306","FA","30","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Christian Villanueva","(N/A)","3B","5307","FA","29","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Nick Vilter","SD","3B,SS","5308","FA","27","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Zach Vincej","(N/A)","SS","5309","FA","29","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jose Vinicio","BOS","SS","5310","FA","27","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"David Vinsky","STL","OF","5311","FA","22","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Kolbrin Vitek","BOS","2B","5312","FA","31","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Josh Vitters","COL","3B","5313","FA","31","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jose Vizcaino","SF","3B","5314","FA","26","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Vance Vizcaino","COL","OF","5315","FA","26","","0","0","0","0","0","0","0","0","0","0","0","0","0"
